Company Name,Number,URL,Description,Industry,Sales Line,Key Resonating Themes,Matched Partner Name,Matched Partner Description,Avg Leads Per Day,Rank,Match Score,B2B Indicator,Phone Outreach Suitability,Target Group Size Assessment,Products/Services Offered,USP/Key Selling Points,Customer Target Segments,Business Model,Company Size Inferred,Innovation Level Indicators,Website Clarity Notes
Caverion,+43506065900,https://caverion.at,"Caverion ist ein Unternehmen, das sich auf technische Gebäudeausrüstung in allen Gewerken spezialisiert hat. Sie bieten Dienstleistungen in den Bereichen Build (Neubauprojekte und Modernisierungen), Smart (hochmoderne, skalierbare Technologien und datengesteuerte Entscheidungen), Maintain (technischer Betrieb, Wartung und Instandhaltung) und Partner (Facility- und Lifecycle Management). Caverion bietet ein breites Spektrum an Technologiebereichen an, darunter Gebäudeautomatisierung, Kältetechnik, Elektrotechnik, Heizung- und Sanitär, Lüftungs- und Klimatechnik, Brandschutz & Sicherheit sowie Telematik und Tunnel. Sie bieten auch BIM (Building Information Modelling) an, um eine visuelle Echtzeit-Interpretation des Gebäudes für alle beteiligten Fachplaner inklusive aller physischen und funktionalen Merkmale zu ermöglichen. Das Unternehmen ist in mehreren Ländern tätig, darunter Dänemark, Deutschland, Finnland, Estland, Lettland, Litauen, Norwegen und Schweden. Caverion hat sich zum Ziel gesetzt, durch ihre Lösungen zur Reduzierung des Energieverbrauchs bis 2030 bei ihren Kunden mehr CO2-Ausstoß zu vermeiden, als sie als Unternehmen selbst erzeugen.",Technical Building Equipment,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf die digitale Transformation im Bereich Wartung und Anlagenmanagement spezialisiert hat und Unternehmen mit komplexen technischen Anlagen anspricht. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Ähnliche Ausrichtung auf technische Anlagen und deren Management.; Überschneidung im Bereich der digitalen Transformation und Automatisierung von Prozessen.; Potenzielle Synergien bei der Integration von Gebäudeautomatisierung und Instandhaltungslösungen.,RODIAS GmbH,"Industry: IT Consulting (specializing in digital transformation for industry, particularly maintenance and asset management); Services/Products: Customized IT solutions for maintenance, asset management, operation and dismantling of complex technical plants; Consulting services for maintenance; Free potential analysis; AI in maintenance; Predictive Maintenance; Augmented Reality for maintenance teams; Maintenance 4.0 solutions; Mobile apps for on-site maintenance; 360° Asset Lifecycle Management (consulting, implementation, service, support); Enterprise Asset Management (EAM) 4.0 solutions; Custom software development; Service & Support.; Target Audience: Industrial companies with complex technical plants requiring maintenance and asset management solutions.; Business Model: IT consulting; Project-based development of customized software solutions; Service and support (implementation, ongoing support).; Company Size: SME (General) / Medium; Innovation Level: Digital transformation; AI in maintenance; Predictive Maintenance; Augmented Reality; Maintenance 4.0; Analytics; Condition-Based Maintenance; Awarded as TOP 100 Innovator 2022.",8.0,19,,True,True,Appears Large / >=500 potential,"Build (Neubauprojekte und Modernisierungen); Smart (hochmoderne, skalierbare Technologien und datengesteuerte Entscheidungen); Maintain (technischer Betrieb, Wartung und Instandhaltung); Partner (Facility- und Lifecycle Management); Gebäudeautomatisierung; Kältetechnik; Elektrotechnik; Heizung- und Sanitär; Lüftungs- und Klimatechnik; Brandschutz & Sicherheit; Telematik und Tunnel; BIM (Building Information Modelling)",Breites Spektrum an Technologiebereichen; Lösungen zur Reduzierung des Energieverbrauchs; Tätig in mehreren Ländern,,Service-oriented; Project-based consulting; Facility and Lifecycle Management,Large Enterprise,"Smart (hochmoderne, skalierbare Technologien und datengesteuerte Entscheidungen), BIM (Building Information Modelling)",The business model and offerings are clearly articulated. Target audience is not explicitly stated but implied to be businesses needing building equipment and management.
ATP architekten ingenieure,+4351253700,https://atp.ag,"ATP architekten ingenieure is an integrated design company offering services in architecture, engineering, and consulting for various building projects. They focus on sustainable building practices, as highlighted by their ""ATP Green Deal"" initiatives. Their services cover a range of sectors including urban planning, production and logistics, retail, culture and leisure, hospitality, office and administration, housing, mixed-use, research and education, healthcare, infrastructure and transportation, and security. They emphasize integral planning and the use of technology in their processes. The company publishes blogs and news related to their projects and sustainable practices, including discussions on reducing emissions in construction and utilizing tools for CO2 calculation. They also offer consulting services related to ESG and circular economy. ATP targets a broad range of clients needing architectural and engineering solutions, with a strong emphasis on sustainability and innovation.","Architecture, Engineering, and Consulting","Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Consulting, das sich auf die Digitalisierung von Instandhaltung und Anlagenmanagement für Industrieunternehmen spezialisiert hat. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Überschneidung im Bereich Consulting und IT-Lösungen.; Fokus auf die Digitalisierung von Prozessen.; Angebote im Bereich der Anlagenplanung und des Asset-Managements könnten für Architektur- und Ingenieurbüros relevant sein.,RODIAS GmbH,"Industry: IT Consulting (specializing in digital transformation for industry, particularly maintenance and asset management); Services/Products: Customized IT solutions for maintenance, asset management, operation and dismantling of complex technical plants; Consulting services for maintenance; Free potential analysis; AI in maintenance; Predictive Maintenance; Augmented Reality for maintenance teams; Maintenance 4.0 solutions; Mobile apps for on-site maintenance; 360° Asset Lifecycle Management (consulting, implementation, service, support); Enterprise Asset Management (EAM) 4.0 solutions; Custom software development; Service & Support.; Target Audience: Industrial companies with complex technical plants requiring maintenance and asset management solutions.; Business Model: IT consulting; Project-based development of customized software solutions; Service and support (implementation, ongoing support).; Company Size: SME (General) / Medium; Innovation Level: Digital transformation; AI in maintenance; Predictive Maintenance; Augmented Reality; Maintenance 4.0; Analytics; Condition-Based Maintenance; Awarded as TOP 100 Innovator 2022.",8.0,19,,True,True,Appears Large / >=500 potential,Architecture; Engineering; Consulting; Urban planning; Production and logistics design; Retail design; Culture and leisure design; Hospitality design; Office and administration design; Housing design; Mixed-use design; Research and education design; Healthcare design; Infrastructure and transportation design; Security design; ESG consulting; Circular economy consulting,Integrated design services; Sustainable building practices (ATP Green Deal); Integral planning; Use of technology,Clients needing architectural and engineering solutions,Service-oriented; Integrated design and consulting,Unknown/Not Specified,"Summary mentions 'ATP Green Deal' initiatives, use of technology, and tools for CO2 calculation.","The business model and services are clearly communicated, but the specific target customer segments could be more defined."
RIEDERBAU GmbH & Co KG,+43537262688,https://riederbau.at,"RIEDERBAU is a construction company located in Schwoich, Tyrol, Austria, offering a range of services including design and build (Totalunternehmen), general contractor services, and traditional construction work (Baumeisterarbeiten). They handle various types of construction projects, including commercial and industrial buildings (Gewerbe- & Industriebau), renovations and remodeling (Ausbau, Umbau & Sanierung), single-family homes (Einfamilienhaus), residential buildings (Wohnbau), and public buildings (Öffentlicher Bau). RIEDERBAU also provides related services such as painting, plastering, drywall, heating, cooling, ventilation, sanitation, and wood technology. They utilize different construction methods, including solid construction (Massivbau), wood construction (Holzbau), and hybrid construction (Hybridbau) using their RIEDERBAU-Holzbausystem. The company is involved in real estate, project development, and financing. They offer planning services including architecture, interior design, BIM-based integral planning, statics, and support with commercial authority procedures, using their myBauOffice system based on Microsoft365. RIEDERBAU emphasizes innovation and combines experience with new technologies to build company buildings, residential complexes and private houses efficiently, with 100% planning reliability and cost guarantee. They also focus on sustainability, energy efficiency, and the use of ecological building materials. The company aims to provide a comprehensive full-service offering to its customers, with a fixed contact person from planning to execution.",Construction,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich KI-gestützter Software für die Bauindustrie, das ebenfalls Bauunternehmen und deren Baustellenleiter anspricht. Für dieses Unternehmen generieren wir täglich 6 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Gemeinsame Branche: Bauindustrie; Ähnliche Produkte/Services: KI-gestützte Automatisierung und Digitalisierung von Prozessen im Bauwesen; Zielgruppe: Bauunternehmen, insbesondere Baustellenleiter und Mitarbeiter im Backoffice",reebuild,"Industry: AI-powered automation and digitization software for commercial processes in the construction industry.; Services/Products: AI-supported software solution for construction companies; Automated document processing (invoices, delivery notes, construction contracts are captured by AI, structured, and integrated into accounting programs); Real-time cost management (centralized financial transaction recording for transparent budgeting); Integration with existing accounting software and construction cost tracking systems.; Target Audience: Construction companies (specifically targeting site managers and back-office employees within these companies).; Business Model: SaaS (Software as a Service); Product-driven (offering a specialized software solution).; Company Size: …; Innovation Level: AI-supported automation; Digitization; AI-powered document processing; KI-unterstützte Lösung (AI-supported solution).",6.0,15,,True,True,Appears Medium,"Design and build (Totalunternehmen); General contractor services; Traditional construction work (Baumeisterarbeiten); Commercial and industrial buildings (Gewerbe- & Industriebau); Renovations and remodeling (Ausbau, Umbau & Sanierung); Single-family homes (Einfamilienhaus); Residential buildings (Wohnbau); Public buildings (Öffentlicher Bau); Painting; Plastering; Drywall; Heating; Cooling; Ventilation; Sanitation; Wood technology; Architecture; Interior design; BIM-based integral planning; Statics; Support with commercial authority procedures",100% planning reliability; Cost guarantee; Sustainability; Energy efficiency; Use of ecological building materials; Fixed contact person from planning to execution,Commercial and industrial clients; Homeowners; Public sector,"Full-service construction company offering design, build, and related services.",SME,"RIEDERBAU emphasizes innovation and combines experience with new technologies to build company buildings, residential complexes and private houses efficiently.","The summary clearly describes the services offered and the range of projects they undertake. The target group is broad, encompassing commercial, residential, and public sector clients."
Alpega Group,+43557273740,https://alpegagroup.com,"Alpega is a software company focused on providing solutions for the logistics industry. They offer a suite of solutions spanning Transport Execution, Transport Planning, Dock Scheduling, Freight Sourcing, Freight Exchanges, Freight Payment and Package Management. Their offerings include a Transport Management System (TMS) for shippers, supported by a large open carrier network in Europe. For forwarders and carriers, they provide connectivity through freight exchanges, particularly in Iberia, Romania, Central, and South Eastern European regions. Alpega connects a large community of carriers and members daily, operating in numerous countries with a diverse team. They emphasize innovation, sustainability, and digitalization in logistics. Alpega's solutions cater to shippers, forwarders, and carriers, aiming to drive smarter logistics for a greener future. They serve various industries including Agriculture, Paper and Packaging, Pharmaceuticals, FMCG and Retail, Food, Automotive, Semiconductor & High-Tech, and Chemicals. The company's mission is to redefine business transport excellence through collective intelligence and seamless digitalization, empowering stakeholders to drive sustainable logistics. They offer cloud-based SaaS software to minimize carbon emissions and promote sustainable logistics practices. Alpega also provides solutions like Reusable Package Management and Dock Scheduling to streamline operations and reduce congestion.",Logistics Software,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Logistiksoftware, das ebenfalls Unternehmen in der Logistik-, Transport- und Supply-Chain-Management-Branche anspricht, die ihre Prozesse digitalisieren und effizienter gestalten möchten. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Gemeinsame Branche: Logistiksoftware und Supply Chain Management Lösungen.; Ähnliche Produkte/Services: Software zur Optimierung und Automatisierung von Logistikprozessen.; Fokus auf digitale Transformation und Effizienzsteigerung in der Logistik.,NxtLog,"Industry: Digital Solutions for Logistics and Transport; Logistics Software; Supply Chain Management Solutions; Services/Products: Digital logistics solutions (software for optimization and automation of logistics processes); Supply chain management (enhancing transparency and control via intelligent tracking and monitoring systems); Real-time data analysis (for improving efficiency and decision-making in logistics); AI-supported optimization (for logistics planning, supply chain analysis, and route optimization); Individual analysis and consulting for digital transformation of logistics processes; Optimization of warehouse and shipping logistics.; Target Audience: Companies in the logistics, transport, and supply chain management sectors seeking to digitize and make their processes more efficient; Logistics service providers needing fully automated solutions for planning, tracking, and analyzing their supply chains; Companies aiming to optimize their shipping logistics and warehousing through smart software solutions.; Business Model: Software development; Consulting; Service-oriented (custom solutions and implementation); Product-driven (software solutions).; Company Size: …; Innovation Level: Innovative digital solutions; Modern technology; Real-time data; AI-supported optimization; Artificial intelligence; Digital transformation; Smart software solutions; Latest developments in digital logistics.",5.0,20,,True,True,Appears Large / >=500 potential,Transport Execution; Transport Planning; Dock Scheduling; Freight Sourcing; Freight Exchanges; Freight Payment; Package Management; Transport Management System (TMS); Reusable Package Management,"Large open carrier network in Europe; Connectivity through freight exchanges; Focus on innovation, sustainability, and digitalization; Cloud-based SaaS software for minimizing carbon emissions",Shippers; Forwarders; Carriers; Agriculture; Paper and Packaging; Pharmaceuticals; FMCG and Retail; Food; Automotive; Semiconductor & High-Tech; Chemicals,SaaS provider with freight exchange and transport management solutions,SME,"They emphasize innovation, sustainability, and digitalization in logistics.",The business model and target audience are clearly articulated in the summary.
CREE Buildings,+4355744033190,https://creebuildings.com,"CREE is an international construction collective that provides regenerative building solutions, focusing on sustainable and healthy buildings using prefabricated timber-based components. They offer the CREE System, a proven and constantly evolving solution for multi-story timber-hybrid buildings. CREE operates through a global network of partners who share knowledge and collaborate via the CREE Platform. Their system combines timber, concrete, and steel to offer structural integrity and performance in vibration, sound insulation, fire resistance, and weather protection. They establish local supply chains to empower companies to build in timber-hybrid, reducing carbon footprint and lifecycle costs. CREE has evolved from a design-builder into a collaborative global ecosystem, committed to improving and sharing sustainable building practices. The company's mission is to make their knowledge and resource network available to forward-thinking minds invested in building a greener future, promoting a new paradigm in green construction. Their vision is defined by knowledge sharing, collaboration, and respect for nature and its resources. CREE's shareholders include Rhomberg Bau, Zech Group, and Grupo Casais.",Construction,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine App für digitale Vermessung und Navigation im Tiefbau anbietet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Gemeinsame Branche: Baugewerbe / Construction Tech; Ähnliche Produkte/Services: Digitale Vermessung und Navigation im Bauwesen; Technologische Ausrichtung: GPS-gestützte Karten und GNSS-Technologie,SitePlan GmbH,"Industry: Software for Civil Engineering / Construction Tech; Services/Products: An innovative app for digital surveying and navigation in civil engineering; Transforms digital construction plans into GPS-supported maps; GPS navigation in construction plans; Georeferenced photo documentation; Precise surveying with GNSS technology; Real-time collaboration.; Target Audience: Construction companies (specifically in civil engineering / underground construction).; Business Model: App-based software solution / Product-driven.; Company Size: Unknown/Not Specified; Innovation Level: Innovative app; Digital surveying and navigation solution; GPS-supported maps; GNSS technology; Real-time collaboration; Focus on digitalization and automation in civil engineering; ""Revolutionizes your way of working.""",5.0,11,,True,True,Appears Medium,Regenerative building solutions; Prefabricated timber-based components; CREE System (multi-story timber-hybrid buildings),Sustainable and healthy buildings; Timber-hybrid construction; Reduced carbon footprint and lifecycle costs,Forward-thinking minds invested in building a greener future,Collaborative global ecosystem providing regenerative building solutions,SME,Summary highlights regenerative building solutions and a commitment to improving and sharing sustainable building practices.,The business model and target audience are reasonably clear from the summary.
energy4rent GmbH,+43622939106,https://energy4rent.at,"energy4rent GmbH is an Austrian company that specializes in the rental of mobile energy solutions, including heating, cooling, steam, and power systems. They offer a range of mobile units, including heating centrals up to 15 MW, cooling centrals up to 1,200 kW, steam centrals up to 16 t/h, and power centrals up to 1,000 kVA. Their services cater to various applications and industries, providing flexible and modular system solutions with a power spectrum from 2.3 kW to 15 MW. energy4rent emphasizes innovation, reliability, and a customer-focused approach, offering 24/7 hotline support. They also highlight their collaboration with the Heizkurier-Gruppe and their commitment to a green future by providing mobile energy systems as bridging solutions for the energy transition. The company promotes regional presence with locations like the one south of Vienna, featuring an expanded facility and technician team.",Mobile Energy Solutions,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Consulting, das sich auf die digitale Transformation im Industriesektor spezialisiert hat und Lösungen für die Wartung komplexer technischer Anlagen anbietet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Ähnliche Ausrichtung auf Industrieunternehmen mit komplexen technischen Anlagen.; Überschneidung im Bereich der digitalen Transformation und mobilen Lösungen.; Potenzielle Synergien bei der Wartung und Instandhaltung von Anlagen.,RODIAS GmbH,"Industry: IT Consulting (specializing in digital transformation for industry, particularly maintenance and asset management); Services/Products: Customized IT solutions for maintenance, asset management, operation and dismantling of complex technical plants; Consulting services for maintenance; Free potential analysis; AI in maintenance; Predictive Maintenance; Augmented Reality for maintenance teams; Maintenance 4.0 solutions; Mobile apps for on-site maintenance; 360° Asset Lifecycle Management (consulting, implementation, service, support); Enterprise Asset Management (EAM) 4.0 solutions; Custom software development; Service & Support.; Target Audience: Industrial companies with complex technical plants requiring maintenance and asset management solutions.; Business Model: IT consulting; Project-based development of customized software solutions; Service and support (implementation, ongoing support).; Company Size: SME (General) / Medium; Innovation Level: Digital transformation; AI in maintenance; Predictive Maintenance; Augmented Reality; Maintenance 4.0; Analytics; Condition-Based Maintenance; Awarded as TOP 100 Innovator 2022.",8.0,19,,True,True,Appears Medium,Mobile heating centrals; Mobile cooling centrals; Mobile steam centrals; Mobile power centrals,Flexible and modular system solutions; 24/7 hotline support; Commitment to a green future,,Rental of mobile energy solutions,SME,Summary emphasizes innovation and providing mobile energy systems as bridging solutions for the energy transition.,The business model and offerings are clearly articulated. The target audience is less specific but implied to be businesses needing temporary energy solutions.
HerzensApp GmbH,+436644111294,https://herzens.app,"HerzensApp GmbH is a company offering a software solution designed to optimize the management of care and support services, specifically targeting agencies, families, and caregivers. Their core product, HerzensApp, aims to reduce administrative overhead and improve efficiency for care agencies by providing a digital platform to manage caregivers, clients, and documentation. The software supports digital documentation, including check lists and client profiles, and facilitates communication between caregivers, family members, and agencies. A key feature is the use of AI to enable documentation in the caregiver's native language, improving quality and reducing language barriers. The platform also includes features for relatives to plan care and track activities. The company emphasizes a user-friendly experience with speech recognition for documentation and aims to foster a family-like environment within their team, promoting trust and collaboration.",Care and Support Services Software,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Healthcare Software, das digitale Lösungen für Pflegeeinrichtungen anbietet, inklusive KI-gestützter Anamnese und Risikobewertung. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Gemeinsame Zielgruppe: Pflegeeinrichtungen und Pflegekräfte.; Ähnliche Produkte/Services: Softwarelösungen zur Unterstützung von Pflegeprozessen und digitaler Dokumentation.; KI-gestützte Funktionen zur Risikobewertung und Dokumentation.,CareMates / Kuidado,"Industry: Healthcare Software / Healthcare IT (specifically for care facilities); Services/Products: Digital registration forms; AI-supported nursing anamnesis with risk assessment; Individual configuration of registration forms and admission processes; Asynchronous collaboration for inquiries; Automated notifications to relatives/legal guardians; Seamless data integration with existing primary systems (e.g., Connext Vivendi, Euregon Snap, CGM TopSoz, SENSO).; Target Audience: Care facilities / Nursing homes; Business Model: Software solution provider (likely SaaS given the nature of the offering, e.g., online forms, AI, integration, customization); Company Size: Startup; Innovation Level: Innovative software solution; Digitization; AI-supported (KI-gestützte); Automation; Digital technologies.",5.0,39,,True,True,Appears Medium,"HerzensApp (care management software); Digital documentation support; Communication platform for caregivers, families, and agencies","AI-powered documentation in native language; User-friendly experience with speech recognition; Digital platform to manage caregivers, clients, and documentation",Agencies; Families; Caregivers,Software solution for care management,Unknown/Not Specified,Summary highlights the use of AI to enable documentation in the caregiver's native language.,The business model and target audience are clearly articulated in the summary.
PlanRadar,+43720517135,https://planradar.com,"PlanRadar is a business-to-business (B2B) software company that provides a platform for construction and real estate management. Their platform offers solutions for construction management, building operations, and managing projects across the building lifecycle. Key platform capabilities include plans and BIM models, document management, reporting and insights, schedules, integrations & AI, and visual site documentation with SiteView 360° reality capture. They serve various customers including general contractors, developers and owners, facility managers, specialty contractors, construction consultancies, and architects. PlanRadar's solutions cater to industries such as construction, real estate, facility management, retail, infrastructure, hospitality, public sector, office, mobility & transportation, industrial, fire safety, and residential. The platform offers features like tracking project progress, team collaboration, problem-solving, digitizing real estate portfolios, managing daily tasks and inspections, and streamlining maintenance. PlanRadar emphasizes ease of use, seamless collaboration, and customizable templates. They have over 170,000 users across 75+ countries. The company's story highlights its growth from a small team in Vienna to an international presence with multiple offices and significant funding. PlanRadar aims to simplify construction and real estate projects through digital documentation, communication, and task management.",Construction and Real Estate Management Software,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich KI-gestützter Softwarelösungen für Bauunternehmen, das sich ebenfalls an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 6 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Gemeinsame Zielgruppe: Bauunternehmen; Ähnliche Produkte/Services: KI-gestützte Automatisierung und Digitalisierung von Prozessen in der Baubranche; Fokus auf Dokumentenverarbeitung und Kostenmanagement im Bauwesen,reebuild,"Industry: AI-powered automation and digitization software for commercial processes in the construction industry.; Services/Products: AI-supported software solution for construction companies; Automated document processing (invoices, delivery notes, construction contracts are captured by AI, structured, and integrated into accounting programs); Real-time cost management (centralized financial transaction recording for transparent budgeting); Integration with existing accounting software and construction cost tracking systems.; Target Audience: Construction companies (specifically targeting site managers and back-office employees within these companies).; Business Model: SaaS (Software as a Service); Product-driven (offering a specialized software solution).; Company Size: …; Innovation Level: AI-supported automation; Digitization; AI-powered document processing; KI-unterstützte Lösung (AI-supported solution).",6.0,15,,True,True,Appears Large / >=500 potential,Construction Management Platform; Building Operations Platform; Plans and BIM Models; Document Management; Reporting and Insights; Schedules; Integrations & AI; Visual Site Documentation with SiteView 360° reality capture,"Ease of use; Seamless collaboration; Customizable templates; Simplifies construction and real estate projects through digital documentation, communication, and task management",General Contractors; Developers and Owners; Facility Managers; Specialty Contractors; Construction Consultancies; Architects,B2B SaaS platform,SME,"Integrations & AI, and visual site documentation with SiteView 360° reality capture",The business model and target audience are clearly articulated in the summary.
Pointinger Green Buildings,+43724865226,https://pointinger-bau.at,"Pointinger Green Buildings, operating under Pointinger Bau GmbH, is an Austrian company focused on sustainable and economically viable green building solutions, primarily for multi-story residential, commercial, and industrial buildings using timber construction. They aim to align with the EU Taxonomy Regulation, offering benefits such as low operating costs, high value appreciation, and excellent resale value. Their services cover the entire building lifecycle, including project development, planning, architecture, construction, operation, maintenance, conversion, and deconstruction, emphasizing circular economy principles. As a builder, project developer, general planner/architect, and general contractor, they position themselves as a one-stop-shop, providing fixed prices and deadlines for projects in Austria. The company emphasizes sustainability as its mission, integrating resource conservation, water and energy management, and avoidance of soil sealing into their projects. They also focus on social sustainability and regional connection. Pointinger Green Buildings creates energy performance certificates for various types of properties in Upper Austria. The company also highlights its commitment to accessibility, adhering to WCAG 2.1 AA standards and using AI-powered tools to optimize website accessibility for users with disabilities.",Green Building Solutions,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine App für digitale Vermessung im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Ähnliche Zielgruppe: Bauunternehmen (insbesondere im Tiefbau); Überschneidung bei Produkten/Services: Digitale Vermessungslösungen und Bauplanung; Fokus auf Digitalisierung im Baugewerbe,SitePlan GmbH,"Industry: Software for Civil Engineering / Construction Tech; Services/Products: An innovative app for digital surveying and navigation in civil engineering; Transforms digital construction plans into GPS-supported maps; GPS navigation in construction plans; Georeferenced photo documentation; Precise surveying with GNSS technology; Real-time collaboration.; Target Audience: Construction companies (specifically in civil engineering / underground construction).; Business Model: App-based software solution / Product-driven.; Company Size: Unknown/Not Specified; Innovation Level: Innovative app; Digital surveying and navigation solution; GPS-supported maps; GNSS technology; Real-time collaboration; Focus on digitalization and automation in civil engineering; ""Revolutionizes your way of working.""",5.0,11,,True,True,Appears Medium,Project development; Planning; Architecture; Construction; Operation; Maintenance; Conversion; Deconstruction; Energy performance certificates,Sustainable and economically viable green building solutions; Alignment with EU Taxonomy Regulation; Fixed prices and deadlines; One-stop-shop,Multi-story residential buildings; Commercial buildings; Industrial buildings,"Full-service provider for green building projects, from development to deconstruction.",Unknown/Not Specified,Summary mentions using AI-powered tools to optimize website accessibility.,The business model and services are clearly articulated. The target audience is reasonably clear.
Haslehner Gruppe,+43727630820,https://haslehner.net,"Haslehner Gruppe is an Austrian general contractor and real estate developer offering a range of services from planning and construction to real estate sales and property management. They focus on residential construction projects, including apartments for rent, ownership, and investment, primarily in Austria (regions like Marchtrenk, Amstetten, Vienna, Saalbach-Hinterglemm, Wallern, Michaelnbach, Salzburg, Pupping/Eferding, Klosterneuburg, Baden, and Munich Stockdorf in Germany). Their services encompass new construction, renovation, and timber construction. Haslehner emphasizes providing all services in-house, from initial concept to project completion. They also actively seek land and properties for development. The company highlights its experience, know-how, and dedicated team. They have a team of around 20 employees and have constructed over 1600 apartments.",Real Estate Development and Construction,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine App für digitale Vermessung und Navigation im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","Gemeinsame Branche: Baugewerbe und Bautechnik.; Ähnliche Produkte/Services: Planung und Bau von Immobilien (Überschneidung mit den Bauleistungen von Haslehner).; SitePlan bietet eine App für digitale Vermessung und Navigation im Tiefbau, was für Bauunternehmen im Bereich Neubau und Sanierung relevant ist.",SitePlan GmbH,"Industry: Software for Civil Engineering / Construction Tech; Services/Products: An innovative app for digital surveying and navigation in civil engineering; Transforms digital construction plans into GPS-supported maps; GPS navigation in construction plans; Georeferenced photo documentation; Precise surveying with GNSS technology; Real-time collaboration.; Target Audience: Construction companies (specifically in civil engineering / underground construction).; Business Model: App-based software solution / Product-driven.; Company Size: Unknown/Not Specified; Innovation Level: Innovative app; Digital surveying and navigation solution; GPS-supported maps; GNSS technology; Real-time collaboration; Focus on digitalization and automation in civil engineering; ""Revolutionizes your way of working.""",5.0,11,,True,True,Appears Large / >=500 potential,Planning; Construction; Real estate sales; Property management; New construction; Renovation; Timber construction,All services in-house; Experience and know-how; Dedicated team,Apartments for rent; Ownership; Investment,Full-service real estate development and construction,SME,,"The business model is clear, focusing on residential construction and related services. The target group is broad (renters, owners, investors)."
