Company Name	Number	URL	is_b2b	serves_1000	sales_pitch	matched_golden_partner	match_reasoning	Industry	Avg Leads Per Day	Rank
Yunus Social Business	'+49 69 90559030	http://www.yunussb.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich KI-Lösungen und Cloud-Entwicklung, das ebenfalls Unternehmen anspricht, die ihre Digitalisierung vorantreiben möchten. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Linovy	Gemeinsame Zielgruppe: Unternehmen, die Digitalisierungsprojekte umsetzen möchten.; Ähnliche Produkte/Services: Beratung zu Fördermöglichkeiten für Digitalisierung und Automatisierung.; Fokus auf innovative Technologien wie KI und Cloud-Lösungen.	Social Business / Impact Investing	5.0	40.0
DISPENDIX	'+49 7141 9729936	http://www.dispendix.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich HealthTech, das intelligente Systeme zur Überwachung von Drainagen und Kathetern entwickelt und vertreibt und sich an Krankenhäuser und Pflegeeinrichtungen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Elixion Medical	Gemeinsame Ausrichtung auf Automatisierung im Gesundheitswesen.; Ähnliche technologische Schwerpunkte: Digitalisierung von Prozessen und innovative Lösungen.; Fokus auf die Entwicklung von Systemen zur Verbesserung der Effizienz und Präzision in Laborumgebungen.	Automation and Microfluidics for Genomics and Drug Discovery	5.0	4.0
Verlag Herder	'+49 761 2717300	http://www.herder.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Medien, das Fachzeitschriften und Online-Marketing-Dienstleistungen anbietet und sich an kleine und mittlere Unternehmen richtet. Für dieses Unternehmen generieren wir täglich 1 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Schlütersche Verlagsgesellschaft mbH & Co. KG	Gemeinsame Branche: Medien (Verlagswesen und digitale Marketingdienstleistungen); Ähnliche Produkte/Dienstleistungen: Bücher, Fachzeitschriften und Online-Medien.; Gemeinsame Zielgruppe: Unternehmen und Fachleute in verschiedenen Branchen, einschließlich Bildung.	Publishing and Retail	1.0	41.0
H.I. Executive Consulting (H.I.E.C)	'+41 41 561 32 59	http://www.hiec.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Personaldienstleistungen, das sich ebenfalls an B2B-Kunden richtet und im Bereich Personalvermittlung tätig ist. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	MS Company Solutions GmbH	Überschneidung im Bereich Personaldienstleistungen, insbesondere Personalvermittlung.; Fokus auf B2B-Kunden, was mit der Zielgruppe von Executive Search übereinstimmt.; MS Company Solutions bietet auch IT-Projektmanagement an, was potenziell relevant für digitale Führungslösungen sein könnte.	Executive Search	5.0	30.0
CP contech electronic GmbH	'+49 5202 98770	http://www.contech.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformation im Industriesektor spezialisiert hat und ebenfalls Industrieunternehmen mit komplexen technischen Anlagen anspricht. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Ähnliche Dienstleistungen: IT-Beratung und kundenspezifische Softwareentwicklung.; Gemeinsame Ausrichtung auf Industrieunternehmen mit komplexen technischen Anlagen.; Überschneidung im Bereich der digitalen Transformation und Prozessoptimierung.	Electronics Development and Technology Consulting	8.0	19.0
NOVIA Consulting & Baumanagement	'+49 211 54213260	http://www.novia-gmbh.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich KI-gestützte Automatisierungssoftware für die Bauindustrie, das sich ebenfalls an Bauunternehmen und deren Projektmanager richtet. Für dieses Unternehmen generieren wir täglich 6 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	reebuild	Gemeinsame Branche: Bauindustrie.; Ähnliche Produkte/Services: Projektmanagement und Digitalisierungslösungen für Bauprojekte.; Zielgruppe: Bauunternehmen und Projektbeteiligte.	Construction Management	6.0	15.0
Digital Beat GmbH	'+49 221 82829101	http://www.digitalbeat.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning, das digitale Lernplattformen für den Gesundheits- und Sozialbereich anbietet und sich an Fachkräfte und Unternehmen richtet, die ihre Kenntnisse erweitern möchten. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Gemeinsame Ausrichtung auf digitale Bildung: Relias Learning bietet digitale Lernplattformen, während das Zielunternehmen KI-bezogene Schulungen anbietet.; Überschneidung im Zielmarkt: Beide richten sich an Fachkräfte und Unternehmen, die ihre Kenntnisse erweitern möchten.; Ähnliche Produkte/Services: Beide bieten Online-Kurse und Schulungsprogramme an.	AI Training and Education	8.0	6.0
Computec Media GmbH	'+49 911 99399098	http://www.computec.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Medien und Marketing, das ebenfalls kleine und mittlere Unternehmen (KMUs) anspricht. Für dieses Unternehmen generieren wir täglich 1 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Schlütersche Verlagsgesellschaft mbH & Co. KG	Gemeinsame Branche: Medien (Verlagswesen und digitale Marketingdienstleistungen); Schlütersche bietet Online-Marketing-Dienstleistungen für KMUs an, einschließlich Website-Erstellung, SEO, SEA und Social-Media-Marketing, was mit den Dienstleistungen von Computec übereinstimmt.; Zielgruppe: Kleine und mittlere Unternehmen (KMUs) in Deutschland	Media and Publishing	1.0	41.0
Eximia Engineering GmbH	'+49 173 2961198	http://www.eximia-engineering.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Consulting, das sich auf digitale Transformation im Industriesektor spezialisiert hat, insbesondere für die Wartung und das Asset Management komplexer technischer Anlagen. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Überschneidung im Bereich IT-Consulting und Softwareentwicklung für die Wartung und das Asset Management.; Fokus auf digitale Transformation und Automatisierung von Prozessen im industriellen Umfeld.; Ähnliche Dienstleistungen im Bereich der Entwicklung kundenspezifischer Softwarelösungen.	Engineering Services	8.0	19.0
JOLT ENERGY	'+49 89 7498240	http://www.jolt.energy	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine innovative App für die digitale Vermessung und Navigation im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Ähnliche technologische Ausrichtung: Softwarelösungen für den Außeneinsatz.; Potenzielle Synergien: JOLT's Ladelösungen könnten in Bauprojekte integriert werden, die SitePlan unterstützt.; Gemeinsame Zielgruppe: Kommerzielle Unternehmen, die im Bereich Infrastruktur tätig sind.	Electric Vehicle Charging Solutions	5.0	11.0
LIG BAU	'+49 6103 8332800	http://www.ligbau.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine App für digitale Vermessung und Navigation im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Beide Unternehmen sind im Baugewerbe tätig.; SitePlan bietet Software für den Tiefbau an, während Ligbau schlüsselfertige Bauleistungen erbringt.; SitePlan richtet sich an Bauunternehmen, was eine Überschneidung mit den Kunden von Ligbau darstellt.	Construction and Real Estate Development	5.0	11.0
Marantec Group	'+49 5247 7050	http://www.marantec-group.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software für Bauingenieurwesen, das ebenfalls Bauunternehmen im Tiefbau anspricht. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Ähnliche Branche: Software für Bauingenieurwesen/Bautechnik.; Überschneidung bei Produkten/Services: Digitale Vermessung und Navigation.; Fokus auf Innovation und Digitalisierung im Ingenieurwesen.	Engineering	5.0	11.0
JDM Innovation GmbH	'+49 714 481210	http://www.jdm.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich nachhaltiger Medikamentenverpackungslösungen, das sich ebenfalls an Apotheken richtet. Für dieses Unternehmen generieren wir täglich 10 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	go.ecoblister GmbH	Gemeinsame Zielgruppe: Apotheken.; go.ecoblister bietet nachhaltige Medikamentenverpackungslösungen, die für Apotheken relevant sind.; JDM bietet POS-Systeme mit integrierten Rezeptdruckern, was eine potenzielle Synergie mit den Verpackungslösungen von go.ecoblister darstellt.	Healthcare IT	10.0	1.0
AED Vantage	'+49 89 159848480	http://www.aed-vantage.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine innovative App für digitale Vermessung und Navigation im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Ähnliche Zielgruppe: Automobilhersteller und Zulieferer der Automobilindustrie.; Überschneidung bei Produkten/Services: Beide Unternehmen bieten Lösungen zur Digitalisierung und Optimierung von Prozessen im Engineering-Bereich an.; Fokus auf innovative Technologien im Automobilbereich.	Automotive Engineering	5.0	11.0
A. Menarini Research & Business Service GmbH	'+49 30 67071000	http://www.menarini-berlin.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf die digitale Transformation von Industrieunternehmen mit komplexen technischen Anlagen spezialisiert hat. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Gemeinsame Zielgruppe: Unternehmen mit komplexen technischen Anlagen, die Wartung und Asset Management benötigen.; Ähnliche Dienstleistungen: IT-Beratung und Entwicklung von Softwarelösungen zur Optimierung von Prozessen.; Fokus auf digitale Transformation in der Industrie.	Pharmaceuticals	8.0	19.0
DICOTA	'+41 55 416 50 30	http://www.dicota.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Sustainable Tech, das wiederverwendbare Visitenkarten mit NFC-Technologie anbietet, die sich an Professionals richtet, die Wert auf Nachhaltigkeit legen. Für dieses Unternehmen generieren wir täglich 2 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Tap to Tie	Ähnliche Produkte: Bietet Produkte für den Transport von Gegenständen (hier: digitale Kontakte).; Innovative Technologie: Nutzung von NFC-Technologie und QR-Codes für moderne Lösungen.	Carrying Solutions	2.0	44.0
shyftplan	'+49 30 81305297	http://www.shyftplan.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Healthcare-Technologie mit Fokus auf KI-basierte Lösungen für den Pflegebereich, das sich an Krankenhäuser, Kliniken und Pflegeeinrichtungen richtet. Für dieses Unternehmen generieren wir täglich 6 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Dexter Health	Gemeinsame Ausrichtung auf intelligente Softwarelösungen.; Dexter Health bietet KI-basierte Schichtplanungssoftware, ähnlich den Produkten von shyftplan.; Beide zielen auf die Automatisierung und Optimierung von Prozessen ab.	Shift Planning Software	6.0	13.0
ShowHeroes	'+1 888-799-9666	http://www.showheroes.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digitalagentur, die Webdesign und Online-Marketing für Unternehmen anbietet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	PNP Media	Ähnliche Dienstleistungen: Beide Unternehmen bieten digitale Marketinglösungen für Unternehmen an.; Überschneidung im Angebot: PNP Media bietet Webdesign und Online-Marketing, während ShowHeroes sich auf Video-Advertising konzentriert, was beides Teil des digitalen Marketings ist.; Gemeinsame Zielgruppe: Beide Unternehmen richten sich an Unternehmen, die ihre Online-Präsenz und Marketingstrategien verbessern möchten.	Digital Video Advertising	5.0	34.0
SIS Medical	'+41 52 245 09 90	http://www.sis-medical.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich HealthTech, das intelligente Systeme zur Überwachung von Drainagen und Kathetern für Krankenhäuser und Kliniken entwickelt. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Elixion Medical	Gemeinsame Branche: Medizintechnik und HealthTech.; Ähnliche Zielgruppe: Krankenhäuser und Kliniken.; Fokus auf innovative Lösungen zur Verbesserung der Patientenversorgung.	Medical Device	5.0	4.0
bjb.group	'+49 2932 9820	http://www.bjb.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Automatisierungstechnik, das ebenfalls Hersteller von Haushaltsgeräten und Beleuchtung anspricht. Für dieses Unternehmen generieren wir täglich 6 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	project Service & Produktion GmbH	Gemeinsame Zielgruppe: Hersteller von Haushaltsgeräten und Beleuchtung.; Ähnliche Produkte/Services: Automatisierungslösungen und Komponenten für die Produktion.; Überschneidung im Bereich der Automatisierungstechnologie.	Lighting and Household Appliance Components	6.0	27.0
PPC INSULATORS GROUP	'+66 36 537 111	http://www.ppcinsulators.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf die digitale Transformation von Industrieunternehmen mit komplexen technischen Anlagen spezialisiert hat. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Fokus auf Industrieunternehmen mit komplexen technischen Anlagen.; Bietet IT-Lösungen für die Wartung und das Asset Management.; Spezialisierung auf digitale Transformation in der Industrie.	Electrical Insulators Manufacturing	8.0	19.0
Speedgoat	'+1 508-233-2650	http://www.speedgoat.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung für Industrieunternehmen, das sich auf die digitale Transformation im Bereich Wartung und Anlagenmanagement spezialisiert hat. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Gemeinsame Ausrichtung auf Industrieunternehmen mit komplexen technischen Anlagen.; Ähnliche Schwerpunkte: Digitale Transformation und Automatisierung von Prozessen.; Überschneidung bei Lösungen für Wartung und Anlagenmanagement.	Real-time Simulation and Testing Solutions	8.0	19.0
AIYA Matcha • Refining the Taste of Life	'+49 40 34809993	http://www.aiya-europe.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Automatisierungstechnik, das ebenfalls die Lebensmittel- und Getränkeindustrie bedient. Für dieses Unternehmen generieren wir täglich 6 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	project Service & Produktion GmbH	Gemeinsame Zielgruppe: Lebensmittel- und Getränkeindustrie.; Automatisierungslösungen für Verpackung und Palettierung.; Angebot von Fördertechnik, die in der Lebensmittelproduktion relevant ist.	Food and Beverage	6.0	27.0
IPD - Import Promotion Desk	'+49 22 89090081	http://www.importpromotiondesk.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Logistik und Spedition, das Dienstleistungen für Unternehmen aller Branchen anbietet, die im internationalen Handel aktiv sind. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	DB Schenker	Beide Organisationen sind im internationalen Handel tätig.; DB Schenker bietet Dienstleistungen für Unternehmen aller Branchen an, was mit dem breiten Fokus des IPD übereinstimmt.; Das IPD unterstützt die internationale Beschaffung, was sich mit den Logistik- und Frachtdienstleistungen von DB Schenker deckt.	International Trade Promotion	8.0	21.0
Doepke Schaltgeräte GmbH	'+49 90 88069400	http://www.doepke.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine innovative App für die digitale Vermessung im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Ähnliche Zielgruppe: Bauunternehmen, insbesondere im Tiefbau und im Bereich des Ingenieurwesens.; Überschneidung im Bereich der Gebäudeinfrastruktur und -sicherheit durch elektrische Sicherheitslösungen und digitale Vermessung.; Beide Unternehmen bieten Produkte für den B2B-Sektor im Bau- und Ingenieurwesen an.	Electrical Engineering	5.0	11.0
WOLFF & MÜLLER ENERGY GMBH	497141258780.0	http://www.wm-energy.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformation im Anlagenmanagement spezialisiert hat und Industrieunternehmen mit komplexen technischen Anlagen betreut. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Überschneidung im Bereich Energiewirtschaft und Industrie durch Fokus auf komplexe technische Anlagen.; Ähnliche Dienstleistungen: IT-Beratung und kundenspezifische Softwarelösungen zur Optimierung von Prozessen.; Gemeinsame Ausrichtung auf Effizienzsteigerung und Optimierung von Anlagenmanagement.	Energy Consulting	8.0	19.0
